Provincia,Nulos Paso,Nulos Generales,Variacion,Diferencia
Buenos Aires,393916,391537,"-0,60%","-0,006039358645"
Catamarca,11405,16645,"45,94%","0,4594476107"
Chaco,20756,30080,"44,92%","0,4492195028"
Chubut,38000,20536,"-45,96%","-0,4595789474"
Ciudad Autónoma de Buenos Aires,63660,40966,"-35,65%","-0,3564875903"
Córdoba,107586,63355,"-41,11%","-0,411122265"
Corrientes,23589,27367,"16,02%","0,1601593963"
Entre Ríos,30586,35140,"14,89%","0,1488916498"
Formosa,5347,3427,"-35,91%","-0,3590798579"
Jujuy,13500,17674,"30,92%","0,3091851852"
La Pampa,14726,8988,"-38,97%","-0,3896509575"
La Rioja,6608,6036,"-8,66%","-0,08656174334"
Mendoza,171185,98317,"-42,57%","-0,4256681368"
Misiones,13267,10705,"-19,31%","-0,1931107259"
Neuquén,25692,17786,"-30,77%","-0,3077222482"
Río Negro,23091,16923,"-26,71%","-0,2671170586"
Salta,30892,41595,"34,65%","0,3464651042"
San Juan,11151,16928,"51,81%","0,5180701282"
San Luis,11203,5190,"-53,67%","-0,5367312327"
Santa Cruz,10324,8991,"-12,91%","-0,1291166215"
Santa Fe,193144,117202,"-39,32%","-0,3931885018"
Santiago del Estero,9490,32099,"238,24%","2,382402529"
Tierra del Fuego,9256,8752,"-5,45%","-0,05445116681"
Tucumán,40717,44594,"9,52%","0,09521821352"
Total,1279091,1080833,"-15,50%","-0,1549991361"
