idcircuito,Nulos
1,0.370%
2,0.295%
3,0.037%
4,0.043%
5,0.396%
6,0.248%
7,0.177%
8,0.234%
9,0.307%
10,0.343%
11,0.514%
12,0.402%
13,0.452%
14,0.184%
15,0.339%
16,0.309%
17,0.502%
18,0.343%
19,0.496%
20,0.200%
21,0.246%
22,0.439%
23,0.557%
24,0.311%
25,0.268%
26,0.304%
27,0.348%
28,0.550%
29,0.418%
30,0.461%
31,0.398%
32,0.412%
33,0.437%
34,0.589%
35,0.511%
36,0.368%
37,0.461%
38,0.475%
39,0.536%
40,0.364%
41,0.762%
42,0.671%
43,0.543%
44,0.391%
45,0.393%
46,0.355%
47,0.673%
48,0.534%
49,0.509%
50,0.507%
51,0.464%
52,0.641%
53,0.546%
54,0.646%
55,0.498%
56,0.434%
57,0.918%
58,0.709%
59,0.512%
60,0.702%
61,0.527%
62,0.368%
63,0.753%
64,0.850%
65,0.475%
66,0.503%
67,0.793%
68,0.666%
69,1.087%
70,1.027%
71,1.087%
72,0.571%
73,0.796%
74,0.846%
75,0.445%
76,0.712%
77,0.630%
78,0.512%
79,0.528%
80,0.568%
81,0.561%
82,0.603%
83,0.700%
84,0.548%
85,0.311%
86,1.282%
87,1.675%
88,0.823%
89,2.326%
90,2.148%
91,0.389%
92,0.691%
93,0.436%
94,0.527%
95,0.780%
96,0.537%
97,0.418%
98,0.836%
99,0.445%
100,0.621%
101,0.691%
102,0.596%
103,0.523%
104,0.575%
105,0.759%
106,0.634%
107,0.830%
108,0.591%
109,0.794%
110,0.466%
111,0.527%
112,0.361%
113,0.570%
114,0.771%
115,0.598%
116,0.830%
117,0.898%
118,0.587%
119,0.673%
120,0.811%
121,0.700%
122,0.509%
123,0.725%
124,0.802%
125,0.984%
126,0.698%
127,0.961%
128,0.900%
129,1.012%
130,0.752%
131,0.259%
132,0.796%
133,0.803%
134,0.318%
135,0.403%
136,0.564%
137,0.520%
138,1.077%
139,0.530%
140,0.352%
141,0.412%
142,0.552%
143,0.512%
144,0.275%
145,0.573%
146,0.493%
147,0.616%
148,0.625%
149,0.662%
150,0.202%
151,0.657%
152,0.521%
153,0.775%
154,0.993%
155,0.894%
156,0.387%
157,0.562%
158,0.743%
159,0.512%
160,0.928%
161,0.855%
162,0.839%
163,0.495%
164,0.593%
165,0.771%
166,0.737%
167,0.614%
